PORT,DESCRIPTION,STATUS,VLAN,DUPLEX,SPEED,TYPE,MODE,DATAVLAN,VOICEVLAN,ALLOWEDVLANS,NATIVEVLAN,PORTCHANNEL,PCMODE,OTHER
Po66,,notconnect,1,full,auto,,trunk,,,,,,,"Building configuration...

Current configuration : 120 bytes
!
interface Port-channel66
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
end
"
Po66,,notconnect,1,full,auto,,trunk,,,,,,,"Building configuration...

Current configuration : 120 bytes
!
interface Port-channel66
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
end
"
Po66,,notconnect,1,full,auto,,trunk,,,,,,,"Building configuration...

Current configuration : 120 bytes
!
interface Port-channel66
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
end
"
Po66,,notconnect,1,full,auto,,trunk,,,,,,,"Building configuration...

Current configuration : 120 bytes
!
interface Port-channel66
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
end
"
Po66,,notconnect,1,full,auto,,trunk,,,,,,,"Building configuration...

Current configuration : 120 bytes
!
interface Port-channel66
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
end
"
Po66,,notconnect,1,full,auto,,trunk,,,,,,,"Building configuration...

Current configuration : 120 bytes
!
interface Port-channel66
 switchport
 switchport trunk encapsulation dot1q
 switchport mode trunk
 no ip address
end
"
